lng,lat
17.61,46.45
22.08,47.99
18.54,46.51
16.75,47.15
17.64,47.13
16.89,46.69
117.28,-2.23
-8.15,53.18
-9.03,52.85
-7.35,53.99
-8.84,51.92
-6.82,52.73
-6.28,53.39
-7.9,54.92
-8.95,53.36
-6.82,53.19
-7.23,52.57
-9.72,52.11
-7.73,53.71
-6.41,53.91
-8.74,52.49
-8.02,54.14
-7.36,52.98
-6.73,53.63
-6.92,54.16
-9.38,53.92
-7.6,53.21
-8.25,53.72
-8.62,54.16
-7.96,52.64
-7.6,52.17
-7.44,53.53
-6.37,52.98
-6.57,52.46
35.01,31.45
79.64,22.89
92.95,11.25
79.96,15.75
94.7,28.04
92.83,26.36
85.61,25.68
76.78,30.73
82.04,21.27
77.11,28.64
73.07,20.2
74.05,15.36
71.63,22.68
77.24,31.93
76.34,29.2
85.56,23.66
75.11,33.56
76.17,14.71
76.41,10.45
77.58,33.97
72.95,10.48
76.11,19.45
91.28,25.53
93.88,24.74
78.29,23.54
92.83,23.31
94.47,26.06
84.43,20.51
75.42,30.84
79.82,11.86
73.85,26.58
88.47,27.57
79.01,17.8
78.41,11.01
91.74,23.75
80.57,26.92
79.21,30.16
87.98,23.81
43.76,33.05
54.3,32.56
-18.58,64.98
12.08,42.8
12.08,42.8
7.92,45.06
7.39,45.73
9.77,45.62
11.28,46.44
11.86,45.65
13.05,46.15
8.7,44.26
11.04,44.53
11.13,43.45
12.49,42.97
13.14,43.35
12.77,41.98
13.86,42.23
14.6,41.68
14.84,40.86
16.62,40.98
16.08,40.5
16.35,39.07
14.15,37.59
8.95,39.43
-77.31,18.16
36.79,31.25
137.96,37.54
142.56,43.39
142.56,43.39
140.83,40.78
140.93,38.45
140.41,39.75
140.1,38.45
140.22,37.38
140.32,36.31
139.82,36.69
138.98,36.51
139.34,36
140.2,35.52
139.56,35.07
139.34,35.42
138.92,37.52
137.27,36.64
136.77,36.77
136.23,35.85
138.61,35.62
138.04,36.14
137.05,35.78
138.33,35.02
137.21,35.04
136.38,34.52
136.14,35.22
135.44,35.25
135.51,34.62
134.83,35.04
135.87,34.32
135.51,33.91
133.85,35.36
132.56,35.08
133.81,34.9
132.79,34.61
131.53,34.22
134.24,33.92
133.99,34.25
132.86,33.63
133.37,33.42
130.67,33.53
130.11,33.29
129.61,33.23
130.75,32.62
131.43,33.2
131.3,32.2
130.43,31.03
126.68,25.77
37.9,0.5
74.52,41.46
104.92,12.71
43.68,-11.89
-62.7,17.27
127.79,36.36
127.79,36.36
126.99,37.55
129.06,35.2
128.57,35.83
126.38,37.58
126.84,35.16
127.39,36.34
129.24,35.55
127.17,37.53
128.3,37.73
127.83,36.74
126.85,36.53
127.14,35.72
126.9,34.87
128.75,36.35
128.26,35.32
126.55,33.39
127.26,36.56
47.61,29.35
67.3,48.16
103.77,18.5
35.89,33.92
